id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
388,19,22,Foul by Guillaume Hoarau (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,guillaume hoarau,0
389,20,23,"Offside, Lorient. Yann Jouffre tries a through ball, but Julien Quercia is caught offside.",9,2,Lorient,Paris Saint-Germain,julien quercia,0
390,21,23,Jacques-Alaixys Romao (Lorient) wins a free kick in the defensive half.,8,2,Lorient,Paris Saint-Germain,jacquesalaixys romao,0
391,22,23,Foul by JA??rA??my Menez (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,jeremy menez,0
392,23,24,"Corner,  Lorient. Conceded by Mamadou Sakho.",2,2,Lorient,Paris Saint-Germain,mamadou sakho,0
393,24,25,Foul by Yann Jouffre (Lorient).,3,2,Lorient,Paris Saint-Germain,yann jouffre,0
394,25,25,JA??rA??my Menez (Paris Saint Germain) wins a free kick in the defensive half.,8,1,Paris Saint-Germain,Lorient,jeremy menez,0
395,26,25,Yann Jouffre (Lorient) is shown the yellow card for a bad foul.,4,2,Lorient,Paris Saint-Germain,yann jouffre,0
396,27,26,Attempt missed. Kevin Gameiro (Paris Saint Germain) header from the centre of the box misses to the left. Assisted by Christophe Jallet with a cross.,1,1,Paris Saint-Germain,Lorient,kevin gameiro,0
397,28,27,Julien Quercia (Lorient) wins a free kick on the right wing.,8,2,Lorient,Paris Saint-Germain,julien quercia,0
398,29,27,Foul by Mamadou Sakho (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,mamadou sakho,0
399,30,28,"Goal!  Paris Saint Germain 0, Lorient 1. Julien Quercia (Lorient) right footed shot from the left side of the six yard box to the bottom left corner. Assisted by Yann Jouffre with a cross following a set piece situation.",1,2,Lorient,Paris Saint-Germain,julien quercia,0
400,31,29,Mathieu Coutadeur (Lorient) wins a free kick on the left wing.,8,2,Lorient,Paris Saint-Germain,mathieu coutadeur,0
401,32,29,Foul by Christophe Jallet (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,christophe jallet,0
402,33,30,"Offside, Lorient. Mathieu Coutadeur tries a through ball, but Julien Quercia is caught offside.",9,2,Lorient,Paris Saint-Germain,julien quercia,0
403,34,30,Foul by Lucas Mareque (Lorient).,3,2,Lorient,Paris Saint-Germain,lucas mareque,0
404,35,30,JA??rA??my Menez (Paris Saint Germain) wins a free kick in the attacking half.,8,1,Paris Saint-Germain,Lorient,jeremy menez,0
405,36,31,"Offside, Lorient. Lucas Mareque tries a through ball, but Julien Quercia is caught offside.",9,2,Lorient,Paris Saint-Germain,julien quercia,0
406,37,33,"Offside, Paris Saint Germain. NenA?? tries a through ball, but Kevin Gameiro is caught offside.",9,1,Paris Saint-Germain,Lorient,kevin gameiro,0
407,38,35,Yann Jouffre (Lorient) wins a free kick on the right wing.,8,2,Lorient,Paris Saint-Germain,yann jouffre,0
408,39,35,Foul by ClA??ment Chantome (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,clement chantome,0
409,40,35,ClA??ment Chantome (Paris Saint Germain) is shown the yellow card for a bad foul.,4,1,Paris Saint-Germain,Lorient,clement chantome,0
410,41,36,"Corner,  Lorient. Conceded by Mamadou Sakho.",2,2,Lorient,Paris Saint-Germain,mamadou sakho,0
411,42,37,Attempt missed. NenA?? (Paris Saint Germain) left footed shot from the left side of the box is just a bit too high. Assisted by Kevin Gameiro with a through ball.,1,1,Paris Saint-Germain,Lorient,nene,0
412,43,38,"Offside, Lorient. Mathieu Coutadeur tries a through ball, but Yann Jouffre is caught offside.",9,2,Lorient,Paris Saint-Germain,yann jouffre,0
413,44,39,"Corner,  Paris Saint Germain. Conceded by GrA??gory Bourillon.",2,1,Paris Saint-Germain,Lorient,gra??gory bourillon,0
414,45,42,"Corner,  Paris Saint Germain. Conceded by Bruno Ecuele Manga.",2,1,Paris Saint-Germain,Lorient,bruno ecuele manga,0
415,46,43,Attempt blocked. NenA?? (Paris Saint Germain) left footed shot from outside the box is blocked. Assisted by Christophe Jallet.,1,1,Paris Saint-Germain,Lorient,nene,0
416,47,45,"Offside, Paris Saint Germain. NenA?? tries a through ball, but Guillaume Hoarau is caught offside.",9,1,Paris Saint-Germain,Lorient,guillaume hoarau,0
417,48,45,KA??vin Monnet-Paquet (Lorient) wins a free kick on the right wing.,8,2,Lorient,Paris Saint-Germain,kevin monnetpaquet,0
418,49,45,Foul by Siaka TiA??nA?? (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,siaka tiene,0
